ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1007,1006,<
2,1008,1006,<
3,1020,1004,>
4,1020,1012,>
5,1024,1015,>
6,1024,1018,>
7,2008,2001,>
8,2008,2002,>
9,2020,2013,<
10,2024,2021,>
11,2025,2013,M
12,2026,2013,<
13,2038,2033,>
14,2038,2039,>
15,2041,2001,>
16,2041,2002,>
17,2041,2020,>
18,2046,2027,M
19,2048,2047,M
20,2054,2001,>
21,2054,2020,>
22,2067,2001,M
23,2072,2071,<
24,2073,2071,<
25,2074,2071,<
26,2077,2074,<
27,2078,2071,<
28,2080,2077,M
29,2084,2001,>
30,2084,2071,>
31,2093,2092,<
32,2094,2093,<
33,2097,2096,<
34,2098,2096,<
35,2099,2096,<
36,2105,2001,M
37,3002,3001,<
38,3003,3002,<
39,3004,3002,<
40,3006,3001,<
41,3012,3002,>
42,3012,3006,>
43,3023,3022,<
44,3024,3022,<
45,3025,3005,M
46,4008,4031,<
47,4010,4008,>
48,4010,4009,>
49,4014,4031,<
50,4027,4014,M
51,4028,4031,<
52,4032,4011,>
53,4032,4012,>
54,4032,4013,>
55,5006,5005,M
56,5010,5009,M
57,5017,5026,<
58,5018,5017,<
59,5023,5001,>
60,5023,5021,>
61,5026,5016,M
